n_runs,mean_miss,std_miss,median_miss,p95_miss,min_miss,max_miss,mean_detection,std_detection,success_rate,ci_95_lower,ci_95_upper,ramp_rate,converged
200,20413.042912784702,938.0401470823309,20439.768799009056,21863.985911344997,18003.415687804787,22742.17159819792,0.010066225165562916,0.008401987564054945,1.0,20283.037181175383,20543.04864439402,0.005,True
200,20413.825144525294,910.2681151489761,20419.430867891897,22000.037145270253,16821.91602698671,23146.22465042283,0.0106953642384106,0.007910442867184139,1.0,20287.668420169026,20539.98186888156,0.01,True
200,20466.574399992798,961.7293917282934,20462.828033481655,21970.50992338954,17986.09537559306,22680.689587229615,0.014602649006622519,0.00991825498459223,1.0,20333.28550657953,20599.863293406066,0.015,True
200,20414.064461988906,973.3340120316363,20433.53849915763,21949.299221506255,17415.932278282642,23115.74872331424,0.017549668874172187,0.013040641501665708,0.985,20279.16725025656,20548.961673721253,0.02,True
200,20475.65887181732,958.7467988132065,20486.11009991618,22096.680988849632,17887.940748688263,22649.47167645128,0.02403973509933775,0.01604932421815026,0.94,20342.783344692503,20608.534398942134,0.025,True
200,20519.762182191273,853.2329423866345,20523.231799349127,22000.01550673297,17808.919272960415,22746.289228739646,0.032119205298013244,0.016605885984264677,0.83,20401.510129490576,20638.01423489197,0.03,True
200,20361.300045631953,912.6443132724828,20366.54340135306,21753.71803342284,18392.386241793934,23779.5185724655,0.034370860927152316,0.018523996837602964,0.835,20234.813997017594,20487.786094246312,0.032,True
200,20535.466461269698,908.8574066785462,20554.432110916685,21989.45358052898,17306.39433385154,23013.733435631504,0.04218543046357616,0.020607735008011715,0.66,20409.50525113247,20661.427671406927,0.035,True
200,20345.00386211037,894.6782653762501,20389.433721066394,21899.17453118071,17626.8750947818,23063.5162601921,0.07281456953642385,0.04603243327201393,0.29,20221.00778069853,20468.999943522213,0.04,True
200,20413.58555858656,886.212225025484,20411.202472606412,21986.34692403085,18117.452183986366,22908.534684567305,0.579635761589404,0.0389600881647354,0.0,20290.76281050492,20536.408306668203,0.075,True
200,20319.432854827763,1009.8616823234969,20339.9540911999,21847.91465298896,17473.21092242215,22772.228955817864,0.6665894039735099,0.029650815666667545,0.0,20179.47316627601,20459.392543379516,0.1,True
